"LYLTY_CARD_NBR","DATE","STORE_NBR","TXN_ID","PROD_NBR","PROD_NAME","PROD_QTY","TOT_SALES","size","Brand","LIFESTAGE","PREMIUM_CUSTOMER"
269175,"2018-08-18",269,266095,4,"Doritos Corn Chp Supreme",2,"6.5",380,"DORITOS","MIDAGE SINGLES/COUPLES","Budget"
91289,"2018-11-12",91,90251,52,"Grnwves Waves Sour Cream&chives",2,"7.2",210,"GRNWVES","MIDAGE SINGLES/COUPLES","Budget"
98150,"2019-02-25",98,97947,94,"Burger Rings",1,"2.3",220,"BURGER","MIDAGE SINGLES/COUPLES","Budget"
104147,"2019-05-06",104,104618,14,"Smithss Crnkle Chip Orgnl Big Bag",2,"11.8",380,"SMITHS","MIDAGE SINGLES/COUPLES","Budget"
119036,"2019-01-01",119,122308,46,"Kettle Original",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Budget"
157164,"2018-12-02",157,159426,1,"Smithss Crinkle Cut Chips Barbecue",2,"5.8",170,"SMITHS","MIDAGE SINGLES/COUPLES","Budget"
157185,"2019-06-23",157,159569,62,"Pringles Mystery Flavour",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Budget"
160023,"2018-10-09",160,160312,6,"Red Rock Deli Lime & Pepper",2,"6",165,"RRD","MIDAGE SINGLES/COUPLES","Budget"
175338,"2019-06-16",175,176770,81,"Pringles Original Crisps",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Budget"
176475,"2019-02-08",176,177474,47,"Doritoss Corn Chips Original",1,"4.4",170,"DORITOS","MIDAGE SINGLES/COUPLES","Budget"
184129,"2019-06-10",184,187070,75,"Cobs Popd Sea Salt Chips",2,"7.6",110,"COBS","MIDAGE SINGLES/COUPLES","Budget"
185339,"2019-02-25",185,188198,79,"Smithss Chip Thinly Cutsalt/vinegr",2,"6",175,"SMITHS","MIDAGE SINGLES/COUPLES","Budget"
194161,"2019-03-29",194,193940,90,"Tostitos Smoked Chipotle",2,"8.8",175,"TOSTITOS","MIDAGE SINGLES/COUPLES","Budget"
195289,"2019-06-03",195,195176,18,"Cheetos Chs & Bacon Balls",2,"6.6",190,"CHEETOS","MIDAGE SINGLES/COUPLES","Budget"
197016,"2019-06-08",197,196917,102,"Kettle Mozzarella Basil & Pesto",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Budget"
197327,"2018-07-31",197,197278,75,"Cobs Popd Sea Salt Chips",2,"7.6",110,"COBS","MIDAGE SINGLES/COUPLES","Budget"
205151,"2018-07-12",205,204217,88,"Kettle Honey Soy Chicken",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Budget"
207051,"2018-09-03",207,204870,97,"Red Rock Deli Salt & Vinegar",2,"6",165,"RRD","MIDAGE SINGLES/COUPLES","Budget"
220466,"2018-12-14",220,220032,45,"Smithss Thinly Cut Roast Chicken",1,"3",175,"SMITHS","MIDAGE SINGLES/COUPLES","Budget"
255052,"2018-10-10",255,254590,22,"Thins Chips Originl Saltd",1,"3.3",175,"THINS","MIDAGE SINGLES/COUPLES","Budget"
257164,"2018-11-16",257,256749,75,"Cobs Popd Sea Salt Chips",2,"7.6",110,"COBS","MIDAGE SINGLES/COUPLES","Budget"
257224,"2019-05-29",257,257108,92,"Woolworths Crinkle Cut Chicken",2,"3.4",175,"WOOLWORTHS","MIDAGE SINGLES/COUPLES","Budget"
257258,"2018-08-27",257,257309,110,"Woolworths Original Corn Chips",2,"3.8",200,"WOOLWORTHS","MIDAGE SINGLES/COUPLES","Budget"
262066,"2019-02-08",262,261688,113,"Twisties Chicken",2,"9.2",270,"TWISTIES","MIDAGE SINGLES/COUPLES","Budget"
25058,"2019-01-26",25,21731,99,"Pringles Sthrn Friedchicken",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Mainstream"
28066,"2018-11-14",28,24916,91,"Ccs Tasty Cheese",2,"4.2",175,"CCS","MIDAGE SINGLES/COUPLES","Mainstream"
36064,"2019-04-18",36,32275,102,"Kettle Mozzarella Basil & Pesto",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
40346,"2018-12-01",40,37711,15,"Twisties Cheese",2,"9.2",270,"TWISTIES","MIDAGE SINGLES/COUPLES","Mainstream"
48142,"2019-06-12",48,43931,84,"Grnwves Plus Btroot & Chilli Jam",2,"6.2",180,"GRNWVES","MIDAGE SINGLES/COUPLES","Mainstream"
56231,"2018-08-13",56,51227,81,"Pringles Original Crisps",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Mainstream"
57008,"2018-10-03",57,51306,3,"Kettle Sensations Camembert & Fig",2,"9.2",150,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
62009,"2018-07-15",62,57819,3,"Kettle Sensations Camembert & Fig",2,"9.2",150,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
62094,"2019-03-05",62,58352,109,"Pringles Barbeque",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Mainstream"
71064,"2018-10-24",71,69322,108,"Kettle Tortilla Chpshny&jlpno Chili",2,"9.2",150,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
71069,"2018-10-25",71,69361,68,"Pringles Chicken Salt Crips",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Mainstream"
72207,"2019-06-16",72,71516,77,"Doritoss Corn Chips Nacho Cheese",2,"8.8",170,"DORITOS","MIDAGE SINGLES/COUPLES","Mainstream"
78112,"2018-11-11",78,76124,110,"Woolworths Original Corn Chips",2,"3.8",200,"WOOLWORTHS","MIDAGE SINGLES/COUPLES","Mainstream"
81167,"2019-04-28",81,80501,36,"Kettle Chilli",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
83219,"2019-04-01",83,83371,74,"Tostitos Splash Of Lime",2,"8.8",175,"TOSTITOS","MIDAGE SINGLES/COUPLES","Mainstream"
89203,"2019-04-05",89,88349,112,"Tyrrells Crisps Ched & Chives",1,"4.2",165,"TYRRELLS","MIDAGE SINGLES/COUPLES","Mainstream"
90072,"2018-10-19",90,88769,18,"Cheetos Chs & Bacon Balls",2,"6.6",190,"CHEETOS","MIDAGE SINGLES/COUPLES","Mainstream"
95094,"2018-09-01",95,94542,78,"Thins Chips Salt & Vinegar",2,"6.6",175,"THINS","MIDAGE SINGLES/COUPLES","Mainstream"
101027,"2018-08-29",101,100199,50,"Tostitos Lightly Salted",2,"8.8",175,"TOSTITOS","MIDAGE SINGLES/COUPLES","Mainstream"
119326,"2018-12-26",119,123402,113,"Twisties Chicken",2,"9.2",270,"TWISTIES","MIDAGE SINGLES/COUPLES","Mainstream"
136245,"2018-07-03",136,138623,84,"Grnwves Plus Btroot & Chilli Jam",1,"3.1",180,"GRNWVES","MIDAGE SINGLES/COUPLES","Mainstream"
137082,"2019-06-30",137,139375,77,"Doritoss Corn Chips Nacho Cheese",2,"8.8",170,"DORITOS","MIDAGE SINGLES/COUPLES","Mainstream"
148128,"2018-12-24",148,147646,30,"Doritoss Corn Chips Cheese Supreme",1,"4.4",170,"DORITOS","MIDAGE SINGLES/COUPLES","Mainstream"
154082,"2019-03-20",154,153806,40,"Thins Chips Seasonedchicken",2,"6.6",175,"THINS","MIDAGE SINGLES/COUPLES","Mainstream"
154104,"2018-10-04",154,153887,93,"Doritoss Corn Chip Southern Chicken",2,"7.8",150,"DORITOS","MIDAGE SINGLES/COUPLES","Mainstream"
164229,"2019-01-08",164,165223,12,"Natural Chip Co Tmato Hrb&spce",2,"6",175,"NATURAL","MIDAGE SINGLES/COUPLES","Mainstream"
165076,"2019-04-26",165,165744,33,"Cobs Popd Swt/chlli &sr/cream Chips",2,"7.6",110,"COBS","MIDAGE SINGLES/COUPLES","Mainstream"
171132,"2018-08-31",171,172352,99,"Pringles Sthrn Friedchicken",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Mainstream"
174215,"2019-03-05",174,175285,60,"Kettle Tortilla Chpsfeta&garlic",2,"9.2",150,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
186090,"2019-06-09",186,188495,75,"Cobs Popd Sea Salt Chips",2,"7.6",110,"COBS","MIDAGE SINGLES/COUPLES","Mainstream"
190139,"2019-04-22",190,191071,78,"Thins Chips Salt & Vinegar",2,"6.6",175,"THINS","MIDAGE SINGLES/COUPLES","Mainstream"
201085,"2018-11-13",201,200303,114,"Kettle Sensations Siracha Lime",2,"9.2",150,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
201162,"2019-04-15",201,200633,36,"Kettle Chilli",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
231273,"2018-07-18",231,234786,87,"Infuzions Bbq Rib Prawn Crackers",2,"7.6",110,"INFUZIONS","MIDAGE SINGLES/COUPLES","Mainstream"
237025,"2018-08-13",237,240179,42,"Doritoss Corn Chip Mexican Jalapeno",2,"7.8",150,"DORITOS","MIDAGE SINGLES/COUPLES","Mainstream"
241068,"2018-10-28",241,244927,95,"Sunbites Whlegrn Crisps Frch/onin",2,"3.4",90,"SUNBITES","MIDAGE SINGLES/COUPLES","Mainstream"
247206,"2019-05-02",247,249913,68,"Pringles Chicken Salt Crips",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Mainstream"
254000,"2019-01-06",254,254095,9,"Kettle Tortilla Chpsbtroot&ricotta",1,"4.6",150,"KETTLE","MIDAGE SINGLES/COUPLES","Mainstream"
256428,"2019-03-01",256,255610,84,"Grnwves Plus Btroot & Chilli Jam",2,"6.2",180,"GRNWVES","MIDAGE SINGLES/COUPLES","Mainstream"
269129,"2018-08-22",269,265805,97,"Red Rock Deli Salt & Vinegar",2,"6",165,"RRD","MIDAGE SINGLES/COUPLES","Mainstream"
272269,"2019-04-22",272,270015,30,"Doritoss Corn Chips Cheese Supreme",2,"8.8",170,"DORITOS","MIDAGE SINGLES/COUPLES","Mainstream"
104061,"2019-05-19",104,104092,72,"Woolworths Crinkle Cut Original",1,"1.7",175,"WOOLWORTHS","MIDAGE SINGLES/COUPLES","Premium"
119095,"2018-08-15",119,122540,23,"Cheezels Cheese",1,"5.7",330,"CHEEZELS","MIDAGE SINGLES/COUPLES","Premium"
3042,"2018-10-22",3,1266,7,"Smithss Crinkle Original",2,"11.4",330,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
7244,"2018-07-18",7,7301,99,"Pringles Sthrn Friedchicken",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Premium"
8358,"2019-02-04",8,8320,46,"Kettle Original",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
16416,"2018-12-04",16,14537,110,"Woolworths Original Corn Chips",1,"1.9",200,"WOOLWORTHS","MIDAGE SINGLES/COUPLES","Premium"
36145,"2018-12-31",36,32582,50,"Tostitos Lightly Salted",2,"8.8",175,"TOSTITOS","MIDAGE SINGLES/COUPLES","Premium"
49061,"2019-01-24",49,44796,88,"Kettle Honey Soy Chicken",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
55065,"2018-10-31",55,48833,102,"Kettle Mozzarella Basil & Pesto",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
58125,"2019-03-03",58,53374,2,"Cobs Popd Sour Crm &chives Chips",2,"7.6",110,"COBS","MIDAGE SINGLES/COUPLES","Premium"
58332,"2019-04-07",58,54290,68,"Pringles Chicken Salt Crips",2,"7.4",134,"PRINGLES","MIDAGE SINGLES/COUPLES","Premium"
60083,"2018-07-13",60,56497,14,"Smithss Crnkle Chip Orgnl Big Bag",2,"11.8",380,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
64010,"2018-10-11",64,61112,51,"Doritoss Mexicana",2,"8.8",170,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
80137,"2018-07-27",80,78815,70,"Tyrrells Crisps Lightly Salted",2,"8.4",165,"TYRRELLS","MIDAGE SINGLES/COUPLES","Premium"
84262,"2019-06-26",84,83939,112,"Tyrrells Crisps Ched & Chives",2,"8.4",165,"TYRRELLS","MIDAGE SINGLES/COUPLES","Premium"
112152,"2019-03-16",112,114685,40,"Thins Chips Seasonedchicken",2,"6.6",175,"THINS","MIDAGE SINGLES/COUPLES","Premium"
118019,"2018-12-27",118,120795,29,"French Fries Potato Chips",2,"6",175,"FRENCH","MIDAGE SINGLES/COUPLES","Premium"
118081,"2019-01-01",118,121143,37,"Smithss Thinly Swt Chli&s/cream",2,"6",175,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
137192,"2019-06-08",137,140068,93,"Doritoss Corn Chip Southern Chicken",2,"7.8",150,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
138165,"2018-10-13",138,141530,94,"Burger Rings",2,"4.6",220,"BURGER","MIDAGE SINGLES/COUPLES","Premium"
148237,"2018-10-19",148,148036,42,"Doritoss Corn Chip Mexican Jalapeno",1,"3.9",150,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
150357,"2019-05-01",150,149698,32,"Kettle Sea Salt And Vinegar",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
157100,"2019-03-05",157,159048,42,"Doritoss Corn Chip Mexican Jalapeno",2,"7.8",150,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
160053,"2018-11-25",160,160477,38,"Infuzions Mango Chutny Papadums",2,"4.8",70,"INFUZIONS","MIDAGE SINGLES/COUPLES","Premium"
164189,"2019-02-08",164,164952,94,"Burger Rings",2,"4.6",220,"BURGER","MIDAGE SINGLES/COUPLES","Premium"
168060,"2018-10-11",168,169705,111,"Smithss Chip Thinly Cut Original",2,"6",175,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
172200,"2019-02-17",172,173987,70,"Tyrrells Crisps Lightly Salted",2,"8.4",165,"TYRRELLS","MIDAGE SINGLES/COUPLES","Premium"
180141,"2019-06-04",180,181926,16,"Smithss Crinkle Chips Salt & Vinegar",2,"11.4",330,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
189367,"2019-04-01",189,190172,89,"Kettle Sweet Chilli And Sour Cream",1,"5.4",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
191072,"2018-08-26",191,192206,104,"Infuzions Thai Sweetchili Potatomix",2,"7.6",110,"INFUZIONS","MIDAGE SINGLES/COUPLES","Premium"
